user_id,age,house_type,resident,job
1001,35,4,전북,6
1002,45,4,경남,2
1003,55,4,경기,6
1004,43,3,대전,1
1005,55,4,경기,2
1006,45,1,대구,1
1007,39,4,경남,1
1008,55,2,경기,6
1009,33,4,인천,3
1010,55,3,서울,6
1011,66,4,서울,2
1012,55,4,서울,6
1013,62,4,부산,6
1014,35,4,경기,6
1015,48,4,경기,2
1016,55,2,대구,5
1017,60,2,서울,1
1018,60,1,충북,1
1019,50,4,대구,6
1020,50,4,경기,2
1021,50,4,부산,5
1022,50,4,경남,6
1023,50,2,경북,5
1024,60,1,전북,6
1025,60,2,서울,6
1026,60,4,인천,6
1027,60,4,경기,6
1028,59,4,서울,1
1029,59,1,충북,2
1030,59,4,경남,2
1031,59,4,서울,1
1032,59,4,부산,6
1033,59,4,부산,2
1034,59,4,경기,2
1035,59,4,서울,2
1036,59,3,경기,1
1037,59,3,울산,5
1038,59,4,충북,6
1039,49,4,서울,6
1040,59,1,광주,6
1041,59,4,서울,1
1042,59,3,경기,1
1043,59,4,서울,1
1044,59,4,경기,1
1045,59,4,경북,6
1046,59,4,부산,5
1047,58,4,서울,4
1048,58,4,충북,5
1049,58,2,경기,6
1050,48,4,전북,1
1051,58,3,경북,6
1052,58,2,부산,2
1053,48,4,경기,1
1054,48,4,울산,6
1055,58,1,부산,6
1056,48,4,경기,1
1057,58,4,대구,1
1058,58,3,경기,2
1059,58,4,경기,2
1060,58,4,광주,1
1061,58,1,경북,3
1062,58,4,대구,6
1063,58,4,부산,2
1064,58,4,인천,3
1065,58,1,전남,3
1066,58,4,서울,5
1067,58,1,충남,5
1068,58,4,경기,2
1069,58,1,충남,2
1070,58,4,충남,1
1071,58,4,서울,6
1072,57,4,서울,5
1073,57,4,인천,5
1074,57,4,경남,4
1075,57,1,강원,4
1076,57,4,인천,5
1077,57,4,경기,6
1078,57,4,경기,5
1079,57,2,서울,6
1080,57,4,대전,2
1081,57,4,전남,1
1082,57,2,경남,6
1083,57,4,경남,5
1084,47,4,인천,1
1085,57,4,서울,2
1086,57,2,서울,6
1087,57,1,충남,6
1088,57,3,경기,3
1089,57,4,울산,5
1090,57,4,경기,5
1091,57,4,경기,4
1092,57,2,서울,4
1093,57,2,경기,2
1094,57,4,인천,2
1095,57,4,경남,2
1096,57,4,울산,2
1097,57,1,경북,6
1098,57,4,충남,6
1099,57,4,경기,6
1100,57,4,충북,6
1101,56,4,경기,5
1102,56,2,서울,1
1103,56,4,경기,2
1104,46,4,경기,1
1105,56,4,광주,3
1106,56,4,인천,1
1107,56,4,경기,3
1108,56,4,경기,5
1109,56,4,서울,3
1110,56,4,경북,5
1111,56,2,대구,5
1112,56,1,경기,2
1113,56,1,경남,2
1114,56,4,전남,1
1115,56,3,부산,5
1116,46,4,경기,3
1117,56,4,충북,6
1118,56,4,경기,2
1119,56,4,충남,2
1120,56,4,대구,1
1121,56,3,인천,1
1122,56,4,대전,3
1123,56,4,전남,5
1124,56,4,경남,3
1125,56,4,인천,1
1126,56,4,경기,6
1127,56,1,충남,6
1128,56,2,서울,5
1129,56,4,전남,5
1130,56,3,대전,4
1131,56,4,서울,2
1132,56,4,서울,1
1133,56,4,경기,5
1134,56,4,경기,3
1135,55,4,대구,3
1136,55,4,서울,5
1137,55,4,서울,5
1138,55,4,경기,5
1139,55,4,충북,4
1140,55,4,경남,5
1141,55,1,대전,2
1142,55,2,경기,4
1143,55,4,전북,6
1144,44,4,부산,6
1145,44,4,부산,6
1146,55,4,경기,1
1147,55,4,경남,2
1148,55,4,서울,1
1149,55,4,부산,6
1150,55,1,전북,2
1151,55,4,경기,5
1152,55,2,경기,1
1153,55,4,부산,1
1154,55,4,경기,1
1155,55,3,강원,5
1156,55,4,경기,6
1157,55,4,전남,5
1158,55,4,충남,5
1159,55,4,경기,2
1160,55,4,경기,2
1161,55,4,서울,2
1162,54,1,경기,4
1163,54,4,인천,3
1164,54,4,전남,2
1165,54,4,경기,4
1166,54,3,전남,5
1167,54,4,울산,5
1168,54,4,인천,2
1169,54,4,경기,2
1170,54,4,경기,1
1171,54,4,경기,4
1172,54,2,서울,5
1173,54,4,충북,3
1174,44,3,경기,2
1175,44,4,서울,2
1176,54,1,충북,1
1177,54,4,부산,5
1178,54,4,경남,1
1179,44,4,서울,2
1180,44,4,경기,6
1181,54,2,전남,2
1182,54,4,광주,5
1183,54,2,인천,6
1184,54,1,서울,4
1185,44,4,부산,6
1186,54,2,대구,1
1187,54,4,서울,5
1188,44,4,경기,3
1189,53,1,대구,5
1190,53,4,충북,2
1191,53,4,경남,2
1192,53,4,인천,5
1193,53,4,전북,6
1194,53,2,서울,6
1195,53,4,서울,4
1196,53,4,대구,6
1197,53,4,대구,1
1198,53,4,경기,2
1199,43,4,서울,3
1200,53,2,서울,5
1201,53,4,서울,1
1202,53,4,,5
1203,53,4,경남,2
1204,53,4,경기,6
1205,53,1,충남,5
1206,53,4,서울,1
1207,53,4,경기,5
1208,53,4,광주,4
1209,53,4,인천,6
1210,53,4,인천,6
1211,53,4,충북,4
1212,53,4,경기,6
1213,43,4,충남,6
1214,43,4,서울,3
1215,53,4,경기,2
1216,53,4,광주,2
1217,53,3,경기,5
1218,53,1,충북,3
1219,53,4,서울,1
1220,53,4,부산,4
1221,53,4,경기,4
1222,53,4,대전,6
1223,53,4,경기,4
1224,53,4,대전,1
1225,53,1,전북,2
1226,53,4,경기,6
1227,53,4,부산,6
1228,52,4,경북,6
1229,52,4,인천,2
1230,52,4,전북,4
1231,52,4,울산,2
1232,52,4,경북,2
1233,52,4,경기,2
1234,52,4,강원,2
1235,52,4,울산,2
1236,52,1,경기,5
1237,52,1,전북,1
1238,52,2,경기,2
1239,52,4,충남,2
1240,52,4,울산,4
1241,52,2,경기,1
1242,52,4,울산,2
1243,52,4,경기,2
1244,52,1,경남,3
1245,52,2,광주,5
1246,42,4,경기,2
1247,52,4,광주,5
1248,52,4,부산,3
1249,52,4,전남,6
1250,52,1,전남,2
1251,52,4,울산,6
1252,52,3,강원,5
1253,52,2,서울,1
1254,42,4,대구,1
1255,51,4,경기,5
1256,51,4,경북,7
1257,51,2,충북,8
1258,51,4,울산,2
1259,51,2,경기,2
1260,51,2,경기,1
1261,51,4,경기,4
1262,51,3,부산,1
1263,51,4,경기,1
1264,51,4,서울,2
1265,41,4,경남,3
1266,51,2,경기,6
1267,51,4,경기,2
1268,51,4,경기,6
1269,51,2,강원,6
1270,41,4,경기,6
1271,51,2,인천,3
1272,51,4,경기,5
1273,51,1,울산,6
1274,41,4,광주,2
1275,41,4,서울,1
1276,51,4,울산,5
1277,51,4,경기,1
1278,41,4,경기,1
1279,51,2,충북,1
1280,41,4,서울,1
1281,51,4,경기,2
1282,41,4,경기,3
1283,51,2,경기,2
1284,51,4,경기,2
1285,51,4,대구,1
1286,51,4,서울,5
1287,6,4,경기,2
1288,6,4,광주,6
1289,6,4,인천,3
1290,6,4,인천,2
1291,6,4,인천,4
1292,6,4,광주,2
1293,6,3,경기,5
1294,6,4,전남,2
1295,6,4,서울,2
1296,6,4,대구,5
1297,6,3,경북,1
1298,6,4,경남,5
1299,6,4,대구,4
1300,6,4,경남,2
1301,6,4,부산,1
1302,6,4,울산,5
1303,6,4,서울,2
1304,6,4,전북,2
1305,6,4,경남,2
1306,6,4,인천,1
1307,6,2,서울,1
1308,6,4,인천,2
1309,6,4,인천,1
1310,6,4,광주,2
1311,49,3,대구,1
1312,49,4,경기,2
1313,49,4,경북,2
1314,49,2,충북,6
1315,49,4,서울,3
1316,49,4,경기,6
1317,49,2,대구,6
1318,49,4,경기,1
1319,49,2,대구,6
1320,49,4,경기,6
1321,49,4,대전,2
1322,49,4,서울,1
1323,49,4,경기,2
1324,49,4,전남,2
1325,49,4,경기,4
1326,49,4,충남,4
1327,49,4,서울,3
1328,49,4,인천,1
1329,49,4,경기,1
1330,49,4,서울,3
1331,49,4,인천,1
1332,49,4,전남,1
1333,49,4,부산,4
1334,49,2,울산,4
1335,49,2,서울,1
1336,49,4,경기,5
1337,49,4,대구,2
1338,49,4,경기,3
1339,49,4,경기,3
1340,49,4,경북,6
1341,48,4,충남,5
1342,48,4,경기,3
1343,48,4,인천,5
1344,48,2,전남,4
1345,48,1,경기,3
1346,48,4,전북,5
1347,48,4,서울,3
1348,48,4,인천,1
1349,48,4,경기,4
1350,48,4,서울,4
1351,48,4,인천,2
1352,48,4,경기,5
1353,48,4,제주,3
1354,48,4,대구,2
1355,48,4,경기,1
1356,48,4,부산,6
1357,48,3,대전,1
1358,48,4,광주,1
1359,48,1,경기,5
1360,48,4,경기,6
1361,48,4,경기,2
1362,48,4,부산,2
1363,48,4,전남,5
1364,48,4,부산,6
1365,48,4,경기,5
1366,48,4,광주,5
1367,48,4,부산,5
1368,48,4,대전,2
1369,48,4,경기,5
1370,48,4,부산,1
1371,47,2,경기,5
1372,47,4,부산,6
1373,47,2,서울,2
1374,47,4,경북,6
1375,47,4,서울,2
1376,47,2,경기,3
1377,47,4,충북,3
1378,47,4,경기,2
1379,47,4,경기,3
1380,47,4,광주,4
1381,47,4,광주,4
1382,47,4,경남,1
1383,47,4,경기,1
1384,47,2,서울,1
1385,47,4,경기,2
1386,47,4,경기,2
1387,47,4,서울,2
1388,47,4,서울,6
1389,47,4,부산,2
1390,47,4,경기,6
1391,47,4,인천,2
1392,47,4,서울,5
1393,47,4,경남,6
1394,47,4,서울,4
1395,47,4,강원,2
1396,47,4,충남,6
1397,47,4,서울,4
1398,47,2,경기,2
1399,47,4,전남,2
1400,46,4,인천,5
